"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
549199,"Calendar","OS Integration","nobody","NEW"," ---","Tracker bug for OS integration of calendar files / protocols","2011-11-09 14:25:17"
567983,"MailNews Core","LDAP Integration","nobody","NEW"," ---","[meta] Bugs on exported address book attributes in LDIF files","2010-05-26 05:10:31"
595715,"Core","DOM: Core & HTML","nobody","NEW"," ---","Tests changed in Bug 583863 should delete their temporary files","2013-08-07 05:12:26"
599093,"Other Applications","Venkman JS Debugger","nobody","NEW"," ---","Integrate ChromeList addon into Venkman, for loading chrome files","2010-12-23 21:04:25"
616065,"Directory","LDAP C SDK","nobody","NEW"," ---","s|directory|ldap/sdks|g in .mk files","2014-06-17 08:08:38"
646805,"Firefox","General","nobody","NEW"," ---","When removing the profile files of an addon, symbolic links should not be followed","2011-04-01 13:56:09"
676885,"Core","Security: UI","nobody","NEW"," ---","Add-on SDK's reading-data tests trigger ProfileSwitchSocketsStillActive against Linux debug build","2011-10-20 11:00:24"
686373,"Other Applications","Venkman JS Debugger","nobody","NEW"," ---","XML Parsing Error: not well-formed in x-jsd due to unicode characters in source files","2011-10-29 01:48:25"
760387,"Firefox","Installer","nobody","NEW"," ---","Remove defaults/preferences/channel-prefs.js after bug 759469 is fixed using the new removed-files.in","2014-03-05 22:01:09"
767992,"SeaMonkey","Startup & Profiles","nobody","NEW"," ---","[Profile Manager] Show the right error message when the profile is missing.","2014-06-17 08:09:56"
819764,"Core","ImageLib","nobody","NEW"," ---","Version 17 claims GIF files are broken","2013-01-28 15:13:02"
853296,"Core","Build Config","nobody","NEW"," ---","Cannot find debug information for nss source files","2013-08-02 23:35:48"
870309,"Firefox","Toolbars and Customization","nobody","NEW"," ---","Clean up customizableui CSS files","2016-06-27 09:15:07"
890073,"Mozilla Developer Network","Profiles","nobody","NEW"," ---","""Member since"" dates are not accurate for long-term members","2013-11-11 18:23:18"
915885,"bugzilla.mozilla.org","Extensions: UserProfile","nobody","NEW"," ---","Add more status stats to user profiles","2015-02-24 10:25:43"
917024,"Toolkit","General","nobody","NEW"," ---","Remove uses of obsolete JS files and log a deprecation warning to the browser console when used","2014-12-01 05:13:12"
930435,"bugzilla.mozilla.org","General","nobody","NEW"," ---","Interdiff saying ""No valid patch files were found in the attachment."" even when they are valid","2014-08-19 11:36:58"
930525,"bugzilla.mozilla.org","General","nobody","NEW"," ---","when interdiffing two identical patches, bugzilla reports ""No valid patch files were found in the attachment.""","2014-08-19 11:37:17"
973261,"Firefox","PDF Viewer","nobody","NEW"," ---","When it displays pdf files directly (as opposed to downloading to disk) they are wrong","2014-03-24 02:50:23"
997272,"Socorro","Webapp","nobody","NEW"," ---","jshint spring clean our .js files","2014-07-09 07:33:23"
998736,"Core","Networking: File","nobody","NEW"," ---","nsFileStreams.cpp warnings are spamming mochitests","2016-03-21 16:42:40"
1010288,"Firefox","Developer Tools: Debugger","nobody","NEW"," ---","Searching in all files in the debugger should happen on the server side","2014-11-13 05:46:39"
1019295,"bugzilla.mozilla.org","Extensions: UserProfile","nobody","NEW"," ---","User profiles for generic accounts don't show correct figures.","2014-06-02 16:32:41"
1040314,"Firefox","Developer Tools: Debugger","nobody","NEW"," ---","Script files not showing in the debugger","2014-09-30 00:55:27"
1043730,"Firefox OS","Gaia::Contacts","nobody","NEW"," ---","Importing contacts from SD card (.vcf files) cannot be canceled (and seems to hang)","2014-08-24 17:57:27"
1058899,"Toolkit","Add-ons Manager","nobody","NEW"," ---","Unnecessary XPIProviderUtils.js / extensions.json load at startup for profiles with only bootstrap add-ons","2016-02-18 11:13:44"
1065484,"Firefox for Android","General","nobody","NEW"," ---","Distribution.copyFiles takes 500msec on Nexus S first run","2016-03-31 13:40:15"
1074660,"SeaMonkey","Startup & Profiles","nobody","NEW"," ---","Implementation of Bug #581319 Is Broken","2016-06-19 17:00:00"
1088017,"Firefox OS","Bluetooth","nobody","NEW"," ---","User not able to accept multiple files sent over BT","2015-08-03 00:28:52"
1088083,"Firefox OS","Gaia::Settings","nobody","NEW"," ---","Missing file size for some downloaded files from google docs","2015-03-17 01:26:46"
1097706,"Firefox","Developer Tools: Debugger","nobody","NEW"," ---","Debugger should be able to open multiple files at once (tabs in debugger)","2016-04-01 12:36:44"
1108681,"Firefox","Developer Tools: Debugger","nobody","NEW"," ---","Searching in inspector panel changes number of files in debugger panel","2014-12-10 00:29:01"
1108695,"Firefox","Developer Tools: Debugger","nobody","NEW"," ---","Searching in the debugger in all files an occurrence and pressing enter should select the next occurrence","2015-03-21 03:26:52"
1133495,"Testing","ProfileManager","nobody","NEW"," ---","Cannot start if .mozilla/firefox/profiles.ini does not exist, or no default profile is specified in it.","2015-07-06 15:41:53"
1141537,"Webtools","Elmo","nobody","NEW"," ---","manage.py runserver doesn't serve static files in non-DEBUG.","2015-03-10 07:06:58"
1156811,"bugzilla.mozilla.org","General","nobody","NEW"," ---","maybe: add a ""i'm on vacation"" option to profiles","2015-04-21 20:32:01"
